,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
0,Luis Garavito,La Bestia,Colombia,1992,1999,193,300+,Violación,Asesinato,menores
1,Pedro López,The Monster of the Andes,Colombia,1969,1980,110,300+,Violación,Asesinato,menores
2,Javed Iqbal,Kukri,Pakistan,1998,1999,100,100,Violación,Estrangulamiento,menores
3,Mikhail Popkov,The Werewolf,Russia,1992,2010,78,83+,Violación,Asesinato,personas_vulnerables
4,Daniel Camargo Barbosa,,Colombia,1974,1986,72,180,Violación,Estrangulamiento,menores
5,Pedro Rodrigues Filho,,Brazil,1967,2003,71,100+,Otros,Asesinato,mujeres
6,Kampatimar Shankariya,I have murdered in vain,India,1977,1978,70,70+,Otros,Asesinato,hombres
7,Yang Xinhai,Monster Killer,China,1999,2003,67,67,Otros,Disparo,personas_vulnerables
8,Samuel Little,,United,1970,2005,60,93,Otros,Asesinato,hombres
9,William Unek,,Belgian,1954,1957,57,57,Otros,Asesinato,personas_vulnerables
10,Mohammed Bijeh,,Iran,2002,2004,54,54,Violación,Asesinato,menores
11,Andrei Chikatilo,The Butcher of Rostov,Soviet,1978,1990,53,56,Otros,Disparo,menores
12,Anatoly Onoprienko,The Beast of Ukraine,Soviet,1989,1996,52,52+,Otros,Asesinato,hombres
13,Florisvaldo de Oliveira,Cabo Bruno,Brazil,1982,1983,50,50+,Otros,Asesinato,no clasificado
14,Gary Ridgway,Green River Killer,United,1982,2000,49,90+,Otros,Asesinato,hombres
15,Alexander Pichushkin,Chessboard Killer,Russia,1992,2006,49,60,Otros,Asesinato,hombres
16,Wang Qiang,,China,1995,2003,45,60+,Violación,Asesinato,desconocidos
17,Ahmad Suradji,,Indonesia,1986,1997,42,42,Otros,Estrangulamiento,mujeres
18,Raman Raghav,,India,1965,1968,41,41,Otros,Asesinato,personas_vulnerables
19,Moses Sithole,,South,1994,1995,38,76,Violación,Asesinato,hombres
20,Omar Abdul Razeq Abdullah Rifai,,Egypt,2008,2013,38,38,Otros,Disparo,hombres
21,Serhiy Tkach,,Soviet,1984,2005,37,100+,Otros,Estrangulamiento,mujeres
22,Gennady Mikhasevich,,Soviet,1971,1985,36,55+,Otros,Estrangulamiento,hombres
23,Hadj Mohammed Mesfewi,Marrakesh Arch-Killer,Morocco,1906 and earlier,Unknown,36,36+,Otros,Asesinato,hombres
24,Vera Renczi,The Black Widow,Kingdom,1920,1930,35,~35,Otros,Veneno,hombres
25,Fernando Hernández Leyva,,Mexico,1982,1999,33,137,Paliza,Asesinato,hombres
26,John Wayne Gacy,Killer Clown,United,1972,1978,33,34-45+,Otros,Asesinato,menores
27,Ali Asghar Borujerdi,Asghar the Murderer,Ottoman,1907,1934,33,33,Otros,Asesinato,desconocidos
28,Vasili Komaroff,The Wolf of Moscow,Soviet,1921,1923,33,33,Otros,Asesinato,hombres
29,Ramadan Abdel Rehim Mansour,al-Tourbini,Egypt,1999,2006,32,32+,Violación,Asesinato,menores
30,Karl Denke,,Germany,1900,1924,30,42+,Canibalismo,Asesinato,hombres
31,Francisco das Chagas Rodrigues de Brito,,Brazil,1989,2003,30,42,Otros,Asesinato,menores
32,Monster of the Mangones,,Colombia,1963,1970s,30,38,Violación,Asesinato,desconocidos
33,Milton Sipalo,The Lusaka Strangler,Zambia,1980,Unknown,30,31,Violación,Estrangulamiento,mujeres
34,Luis Gregorio Ramírez Maestre,,Colombia,2010,2013,30,30,Otros,Asesinato,desconocidos
35,David Thabo Simelane,,Swaziland,2000,2001,28,45,Otros,Estrangulamiento,hombres
36,Zhang Jun,,China,1993,2000,28,28,Otros,Asesinato,personas_vulnerables
37,Mariam Soulakiotis,Mother Rasputin,Greece,1939,1951,27,177+,Otros,Asesinato,menores
38,Cedric Maake,Wemmer Pan Killer,South,1996,1997,27,35+,Otros,Disparo,hombres
39,Volga Maniac,,Russia,2011,2012,26,32,Otros,Asesinato,hombres
40,Bruce George Peter Lee,,United,1973,1979,26,26,Pirómano,Asesinato,hombres
41,The Stoneman,,India,1985,1989,25,25+,Otros,Asesinato,personas_vulnerables
42,Juan Corona,,United,1971,Unknown,25,25+,Otros,Asesinato,hombres
43,Fritz Haarmann,,Germany,1918,1924,24,27+,Otros,Asesinato,hombres
44,Béla Kiss,,Austria-Hungary,1912,1916,24,24+,Otros,Asesinato,desconocidos
