,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
0,Luis Garavito,La Bestia,Colombia,1992,1999,193,300+,Violación,Asesinato,Menores
1,Pedro López,The Monster of the Andes,Colombia,1969,1980,110,300+,Violación,Asesinato,Menores
2,Javed Iqbal,Kukri,Pakistan,1998,1999,100,100,Violación,Estrangulamiento,Menores
3,Mikhail Popkov,The Werewolf,Russia,1992,2010,78,83+,Violación,Asesinato,Personas_Vulnerables
4,Daniel Camargo Barbosa,,Colombia,1974,1986,72,180,Violación,Estrangulamiento,Menores
5,Pedro Rodrigues Filho,,Brazil,1967,2003,71,100+,Otros,Asesinato,Mujeres
6,Kampatimar Shankariya,I have murdered in vain,India,1977,1978,70,70+,Otros,Asesinato,Hombres
7,Yang Xinhai,Monster Killer,China,1999,2003,67,67,Otros,Disparo,Personas_Vulnerables
8,Samuel Little,,United,1970,2005,60,93,Otros,Asesinato,Hombres
9,William Unek,,Belgian,1954,1957,57,57,Otros,Asesinato,Personas_Vulnerables
10,Mohammed Bijeh,,Iran,2002,2004,54,54,Violación,Asesinato,Menores
11,Andrei Chikatilo,The Butcher of Rostov,Soviet,1978,1990,53,56,Otros,Disparo,Menores
12,Anatoly Onoprienko,The Beast of Ukraine,Soviet,1989,1996,52,52+,Otros,Asesinato,Hombres
13,Florisvaldo de Oliveira,Cabo Bruno,Brazil,1982,1983,50,50+,Otros,Asesinato,No Clasificado
14,Gary Ridgway,Green River Killer,United,1982,2000,49,90+,Otros,Asesinato,Hombres
15,Alexander Pichushkin,Chessboard Killer,Russia,1992,2006,49,60,Otros,Asesinato,Hombres
16,Wang Qiang,,China,1995,2003,45,60+,Violación,Asesinato,Desconocidos
17,Ahmad Suradji,,Indonesia,1986,1997,42,42,Otros,Estrangulamiento,Mujeres
18,Raman Raghav,,India,1965,1968,41,41,Otros,Asesinato,Personas_Vulnerables
19,Moses Sithole,,South,1994,1995,38,76,Violación,Asesinato,Hombres
20,Omar Abdul Razeq Abdullah Rifai,,Egypt,2008,2013,38,38,Otros,Disparo,Hombres
21,Serhiy Tkach,,Soviet,1984,2005,37,100+,Otros,Estrangulamiento,Mujeres
22,Gennady Mikhasevich,,Soviet,1971,1985,36,55+,Otros,Estrangulamiento,Hombres
24,Vera Renczi,The Black Widow,Kingdom,1920,1930,35,~35,Otros,Veneno,Hombres
25,Fernando Hernández Leyva,,Mexico,1982,1999,33,137,Paliza,Asesinato,Hombres
26,John Wayne Gacy,Killer Clown,United,1972,1978,33,34-45+,Otros,Asesinato,Menores
27,Ali Asghar Borujerdi,Asghar the Murderer,Ottoman,1907,1934,33,33,Otros,Asesinato,Desconocidos
28,Vasili Komaroff,The Wolf of Moscow,Soviet,1921,1923,33,33,Otros,Asesinato,Hombres
29,Ramadan Abdel Rehim Mansour,al-Tourbini,Egypt,1999,2006,32,32+,Violación,Asesinato,Menores
30,Karl Denke,,Germany,1900,1924,30,42+,Canibalismo,Asesinato,Hombres
31,Francisco das Chagas Rodrigues de Brito,,Brazil,1989,2003,30,42,Otros,Asesinato,Menores
34,Luis Gregorio Ramírez Maestre,,Colombia,2010,2013,30,30,Otros,Asesinato,Desconocidos
35,David Thabo Simelane,,Swaziland,2000,2001,28,45,Otros,Estrangulamiento,Hombres
36,Zhang Jun,,China,1993,2000,28,28,Otros,Asesinato,Personas_Vulnerables
37,Mariam Soulakiotis,Mother Rasputin,Greece,1939,1951,27,177+,Otros,Asesinato,Menores
38,Cedric Maake,Wemmer Pan Killer,South,1996,1997,27,35+,Otros,Disparo,Hombres
39,Volga Maniac,,Russia,2011,2012,26,32,Otros,Asesinato,Hombres
40,Bruce George Peter Lee,,United,1973,1979,26,26,Pirómano,Asesinato,Hombres
41,The Stoneman,,India,1985,1989,25,25+,Otros,Asesinato,Personas_Vulnerables
43,Fritz Haarmann,,Germany,1918,1924,24,27+,Otros,Asesinato,Hombres
44,Béla Kiss,,Austria-Hungary,1912,1916,24,24+,Otros,Asesinato,Desconocidos
45,Majid Salek Mohammadi,,Iran,1981,1985,24,24,Otros,Asesinato,Menores
46,Yvan Keller,Pillow Killer,France,1989,2006,23,150,Otros,Asesinato,Hombres
47,Ronald Dominique,,United,1997,2006,23,23+,Otros,Estrangulamiento,Personas_Vulnerables
48,Juan Fernando Hermosa,Niño del Terror,Ecuador,1991,1992,23,23,Otros,Asesinato,Homosexuales
