Name,Born,Died,Cause of death,Nicknames,Motive,Conviction,Criminal Penalty,Criminal Status,Victims,Span of Crimes,Country,State(s),Date Apprehended
Luis Garavito,"Luis Alfredo Garavito Cubillos(1957-01-25)25 January 1957Génova, Quindío, Colombia","12 October 2023(2023-10-12) (aged 66)Valledupar, Colombia",Unknown,The BeastGoofyConflictBonifacio Morera Lizcano,Unknown,Unknown,Unknown,Unknown,"193+ (221, if 2003 confession is to be believed; 142 convicted)[3][4]",1992–1999,ColombiaEcuadorVenezuela,"Valle del Cauca, Boyacá, Meta, Quindío, Risaralda, Cundinamarca, Nariño, Huila, Caquetá, Antioquia and Caldas,[5][page needed] Chone",22 April 1999
Pedro López,"Pedro Alonso López (1948-10-08) 8 October 1948 (age 76)Venadillo, Colombia",Unknown,Unknown,The Monster of the Andes,Unknown,"Vehicle theft, murder, rape",Unknown,Unknown,110–300+,1969 – 1980 (possible resumption since 1998),"Colombia, Ecuador, Peru",Unknown,9 March 1980 (first arrest for serial murders)
Javed Iqbal,"Javed Iqbal Mughal1961[1][a]Lahore, Punjab, Pakistan","8 October 2001 (aged 40)[2]Lahore, Punjab, Pakistan",Unknown,Kukri,Unknown,Child sex abuseMurder,Unknown,Unknown,100,1998–1999,Pakistan,Unknown,30 December 1999
Mikhail Popkov,"Mikhail Viktorovich Popkov (1964-03-07) 7 March 1964 (age 60)Norilsk, Krasnoyarsk Krai, Russian SFSR, USSR[2]",Unknown,Unknown,The WerewolfThe Angarsk ManiacThe Wednesday Murderer,Hatred of prostitutes  Misogyny  Sexual sadism,Aggravated murder (x78)  Attempted aggravated murder (x2),Unknown,Unknown,83 convictions; 86 confessed[1],1992 – 2010 (confirmed)1992 – 2012 (possible),Russia,Irkutsk OblastPrimorsky Krai,"June 23, 2012"
Daniel Camargo Barbosa,"Daniel Camargo Barbosa(1930-01-22)22 January 1930Anolaima, Cundinamarca, Colombia","13 November 1994(1994-11-13) (aged 64)Guayaquil, Ecuador",Unknown,"""The Sadist of El Charquito""""The Monster of the Mangroves""Manuel Bulgarin Solis",Unknown,Unknown,Unknown,Unknown,72–180,1974–1986,"Colombia, Ecuador","Guayas, Pichincha, Tungurahua, El Oro, Los Ríos",3 May 1974; escaped November 1984; re-apprehended 26 February 1986
Pedro Rodrigues Filho,"Pedro Rodrigues Filho(1954-10-29)29 October 1954Santa Rita do Sapucaí, Minas Gerais, Brazil","5 March 2023(2023-03-05) (aged 68)Mogi das Cruzes, São Paulo, Brazil",Unknown,"Killer Petey
Pedrinho Matador",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Kampatimar Shankariya,"c. 1952Jaipur, Rajasthan, India","16 May 1979 (aged 27)Jaipur, Rajasthan, India",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,70 confirmed,1977–1978,India,Rajasthan,1978
Hoshang Amini,"1936Varamin, Tehran Province, Iran","December 1963 (aged 27)Toopkhaneh, Tehran, Tehran Province, Iran",Unknown,"""The Ghost of the Qanat Wells""""The Felt Hat Killer""",Unknown,Murder x67,Unknown,Unknown,67,1954–1962,Iran,Tehran,1962
Yang Xinhai,"17 July 1968Zhengyang County, Zhumadian, Henan, China","14 February 2004(2004-02-14) (aged 35)Luohe, Henan, China",Unknown,The Monster Killer,Unknown,Murder (67 counts)Rape (23 counts),Unknown,Unknown,67,1999–2003,China,"Anhui, Hebei, Henan, Shandong",3 November 2003
Abul Djabar,Abul DjabarAfghanistan,21 October 1970Kabul Province,Unknown,Unknown,Unknown,Murder,Unknown,Unknown,65–300+,Unknown,Kingdom of Afghanistan,Unknown,October 1970
Samuel Little,"Samuel McDowell(1940-06-07)June 7, 1940Reynolds, Georgia, U.S.","December 30, 2020(2020-12-30) (aged 80)Los Angeles County, California, U.S.",Unknown,Samuel McDowellThe Choke-and-Stroke KillerMr. Sam,Unknown,Murder (x8),Unknown,Unknown,60 confirmed93 claimed and suspected[1][2],1970 – 2005 (confirmed)1960 – 2012 (possible)[3][4],United States,"California, Texas, and Ohio (convicted)Sixteen others (accused)[3]","September 5, 2012"
William Unek,c. 1929 (1929)Protectorate of Uganda,"20 February 1957 (aged 27–28)Mwanza, Tanganyika Territory",Unknown,William Uneko,Unknown,Unknown,Unknown,Unknown,"57 killed
30+ injured",1954–1957,Belgian CongoTanganyika Territory,Unknown,Unknown
Mohammed Bijeh,"21 May 1970Torbat-e Heydarieh, Razavi Khorasan Province, Iran[1]","16 March 2005(2005-03-16) (aged 34)Pakdasht, Iran",Unknown,Unknown,Unknown,Murder,Unknown,Unknown,54,June 2002 – September 2004,Iran,Pakdasht,Unknown
Andrei Chikatilo,"(1936-10-16)16 October 1936Yabluchne [uk], Sumy Oblast, Ukrainian SSR, USSR","14 February 1994(1994-02-14) (aged 57)Novocherkassk, Rostov Oblast, Russia",Unknown,The Butcher of RostovThe Forest Strip Killer[2]The Red RipperThe Rostov Ripper[3],Sexual sadismRage[1],Murder with aggravating circumstancesSexual abuseSexual assault,Unknown,Unknown,52 convicted53 tried56+ claimed,22 December 1978  –  6 November 1990,Soviet Union,Unknown,20 November 1990
Anatoly Onoprienko,"Anatoly Yuriyovych Onoprienko(1959-07-25)25 July 1959Lasky, Zhytomyr Oblast, Ukrainian SSR, USSR","27 August 2013(2013-08-27) (aged 54)Zhytomyr, Zhytomyr Oblast, Ukraine",Unknown,The Beast of UkraineThe TerminatorCitizen O,"Misanthropy, robbery",Murder (52 counts),Unknown,Unknown,52,1989–1996,Soviet Union[nb 1]Ukraine,Unknown,16 April 1996
Florisvaldo de Oliveira,"(1958-11-18)November 18, 1958Uchoa, Brazil[1]","September 26, 2012(2012-09-26) (aged 53)Pindamonhangaba, Brazil",Unknown,"""Cabo Bruno""",Unknown,Murder,Unknown,Unknown,50+,1982–1983,Brazil,São Paulo,"September 22, 1983"
Gary Ridgway,"Gary Leon Ridgway (1949-02-18) February 18, 1949 (age 75)Salt Lake City, Utah, U.S.",Unknown,Unknown,The Green River Killer,Unknown,"Aggravated first degree murder (49 counts)
Tampering with evidence (48 counts)
Solicitation",Unknown,Unknown,49 convicted71–90+ confessed and suspected,1982–1998 confirmed (possibly as recent as 2001),United States,"Washington, Oregon","November 30, 2001"
Alexander Pichushkin,"Alexander Yuryevich Pichushkin (1974-04-09) 9 April 1974 (age 50)Mytishchi, Moscow Oblast, Russian SFSR, USSR",Unknown,Unknown,The Bitsa Park ManiacThe Chessboard Killer,Unknown,Unknown,Unknown,Unknown,49–60,27 July 1992 – 14 June 2006,Russia,Unknown,16 June 2006
Wang Qiang,"Wang Qiang(1975-01-16)16 January 1975Budayuan Town, Kuandian Manchu Autonomous County, Liaoning, China","17 November 2005(2005-11-17) (aged 30)Shenyang, China",Unknown,Unknown,Unknown,Murder x45Rape x10Robbery x34,Unknown,Unknown,"45 confirmed, suspected to have killed more",1992 – 2003 (claimed)1995 – 2003 (confirmed),China,Liaoning,14 July 2003
Ahmad Suradji,"(1949-01-10)10 January 1949Pasar Rongkat, North Sumatra, Indonesia","10 July 2008(2008-07-10) (aged 59)Deli Serdang, North Sumatra, Indonesia[1]",Unknown,Dukun ASNasib KelewangDatuk MaringgiThe Sorcerer,Unknown,Murder (42 counts),Unknown,Unknown,42+,1986–1997,Indonesia,Unknown,30 April 1997
Raman Raghav,"Raghava1929Tinnevelly, Madras Presidency, British India (now Tirunelveli, Tamil Nadu, India)","7 April 1994 (aged 65–66)Yerawada Central Jail, Pune, Maharashtra, India",Unknown,The RipperSindhi DalwaiTalwaiAnnaThambiVeluswamiPsycho Raman[1],Unknown,Murder,Unknown,Unknown,At least 43,1965–1968,India,Maharashtra,27 August 1968
Moses Sithole,"(1964-11-17) 17 November 1964 (age 60)Vosloorus, Gauteng, South Africa",Unknown,Unknown,The ABC KillerThe South African Strangler The Gauteng Killer,Unknown,MurderRapeRobbery,Unknown,Unknown,38–76,1994–1995,South Africa,"Atteridgeville, Gauteng, Johannesburg",6 November 1995
Serhiy Tkach,"Serhiy Fedorovych Tkach(1952-09-15)September 15, 1952[1]Kiselyovsk, Kemerovo Oblast, Russian SFSR, Soviet Union[3]","November 4, 2018(2018-11-04) (aged 66)Prison No. 8, Zhytomyr, Zhytomyr Oblast, Ukraine",Unknown,Pavlohrad Maniac[1]Polohy Maniac[2],Unknown,Unknown,Unknown,Unknown,"37 confirmed, 100+ claimed",1980–2005,Soviet UnionUkraine,Unknown,"August 30, 2005"
Gennady Mikhasevich,"7 April 1947Ist, Vitebsk Oblast, Byelorussian SSR","25 September 1987 (aged 40)Pishchalauski Castle, Minsk, Byelorussian SSR",Unknown,Unknown,Unknown,Murder with aggravating circumstances (x36),Unknown,Unknown,36 confirmed43 confessed55+ estimated,1971–1985,Soviet Union,Vitebsk,9 December 1985
Hadj Mohammed Mesfewi,"Between 1850s and 1870sMarrakesh, Morocco","June 13, 1906 (aged 30s-50s)Marrakesh, Morocco",Unknown,The Marrakesh Arch-Killer,Unknown,Murder,Unknown,Unknown,36+,Unknown,Morocco,Unknown,April 1906
Vera Renczi,"1903Bucharest, Romania","1960 (aged 56–57)[anachronism]Zrenjanin, Yugoslavia(now Serbia)",Unknown,The Black Widow,Unknown,Unknown,Unknown,Unknown,Lovers/husbands,1920–1930,Romania YugoslaviaHungary (alleged),Unknown,Unknown
Fernando Hernández Leyva,"(1964-11-30) 30 November 1964 (age 59)Cuernavaca, Morelos, Mexico",Unknown,Unknown,"""Pancho López""",Unknown,Unknown,Unknown,Unknown,33–137,1982–1999,Mexico,"Morelos, Jalisco, Colima, Guanajuato, Michoacán",1999
John Wayne Gacy,"(1942-03-17)March 17, 1942Chicago, Illinois, U.S.","May 10, 1994(1994-05-10) (aged 52)Stateville Correctional Center, Illinois, U.S.",Unknown,The Killer Clown,Unknown,IowaSodomyIllinoisMurder (33 counts)Indecent liberties with a childDeviate sexual assault,Unknown,Unknown,33+,1972–1978,United States,IllinoisIowa,"December 21, 1978"
